ID	Traditional	Tags
B3L03-II-32	端午節	Name
B3L03-II-33	中秋節	Name
B3L03-II-34	雄黃酒	Name
B3L03-II-35	古時候	Ph
B3L03-II-36	趕走	Ph
B3L03-II-37	過節	Ph
B3L04-I-30	平溪	Name
B3L04-I-31	元宵節	Name
B3L04-I-32	孔廟	Name
B3L04-I-33	校外教學	Ph
B3L04-I-34	碰到	Ph
B3L04-I-35	水煎包	Ph
B3L04-II-25	鈴木	Name
B3L04-II-26	赤崁樓	Name
B3L04-II-27	留下來	Ph
B3L04-II-28	木造	Ph
B3L04-II-29	非去不可	Ph
B3L05-I-24	五月天	Name
B3L05-I-25	算了	Ph
B3L05-I-26	受歡迎	Ph
B3L05-I-27	擠滿	Ph
B3L05-I-28	租書店	Ph
B3L05-I-29	平板電腦	Ph
B3L05-I-30	智慧型手機	Ph
B3L05-I-31	殺時間	Ph
B3L05-I-32	漫畫展	Ph
B3L05-I-33	來不及	Ph
B3L05-II-31	一模一樣	Ph
B3L05-II-32	淺藍色	Ph
B3L05-II-33	脫掉	Ph
B3L05-II-34	小題大作	Ph
B3L05-II-35	推出	Ph
B3L06-I-01	李文彥	Character Name
B3L06-I-27	摘下來	Ph
B3L06-I-28	做不動	Ph
B3L06-I-29	基因改造	Ph
B3L06-I-30	忙得過來	Ph
B3L06-I-31	開玩笑	Ph
B3L06-I-32	看天吃飯	Ph
B3L06-II-33	出問題	Ph
B3L06-II-34	一方面	Ph
B3L07-I-38	跌倒	Ph
B3L07-I-39	當成	Ph
B3L07-I-40	忍不住	Ph
B3L07-II-32	美真	Name
B3L07-II-33	家華	Name
B3L07-II-34	風雲人物	Ph
B3L07-II-35	下決心	Ph
B3L08-I-29	怎麼回事	Ph
B3L08-I-30	大喊大叫	Ph
B3L08-I-31	期中考	Ph
B3L08-I-32	密集班	Ph
B3L08-I-33	畢業展	Ph
B3L08-I-34	服裝設計	Ph
B3L08-I-35	醫學系	Ph
B3L08-I-36	行行出狀元	Ph
B3L08-II-42	吳寶春	Name
B3L08-II-43	新加坡	Name
B3L08-II-44	日文	Name
B3L08-II-45	世界麵包大賽	Ph
B3L08-II-46	EMBA（高級管理人員工商管理碩士）	Ph
B3L08-II-47	小時候	Ph
B3L08-II-48	大開眼界	Ph
B3L08-II-49	X 分之 Y	Ph
B3L09-I-28	網購	Ph
B3L09-I-29	貨比三家不吃虧	Ph
B3L09-I-30	兩成	Ph
B3L09-II-35	閩南語	Name
B3L09-II-36	旺來	Name
B3L09-II-37	東京	Name
B3L09-II-38	鳳梨酥	Ph
B3L09-II-39	第二位	Ph
B3L09-II-40	鳳梨農	Ph
B3L10-I-28	出車禍	Ph
B3L10-I-29	趕時間	Ph
B3L10-I-30	撞倒	Ph
B3L10-I-31	救護車	Ph
B3L10-I-32	照Ｘ光	Ph
B3L10-I-33	動手術	Ph
B3L10-II-30	愛林	Name
B3L10-II-31	微整型	Ph
B3L10-II-32	數一數二	Ph
B3L10-II-33	人際關係	Ph
B3L10-II-34	動不動就	Ph
B3L10-II-35	找回	Ph
B3L11-I-30	紅毛城	Name
B3L11-I-31	東方	Name
B3L11-I-32	淡水	Name
B3L11-I-33	漢人	Name
B3L11-I-34	鄭成功	Name
B3L11-I-35	明朝	Name
B3L11-I-36	中南美洲	Name
B3L11-I-37	清朝	Name
B3L11-I-38	大清帝國	Name
B3L11-I-39	輪到	Ph
B3L11-I-40	十七世紀初	Ph
B3L11-I-41	打敗	Ph
B3L11-I-42	十七世紀末	Ph
B3L11-II-29	蔣介石	Name
B3L11-II-30	國共內戰	Name
B3L11-II-31	客家人	Name
B3L11-II-32	閩南人	Name
B3L11-II-33	蛋餅	Ph
B3L11-II-34	打輸	Ph
B3L11-II-35	擺攤子	Ph
B3L11-II-36	蘿蔔糕	Ph
B3L11-II-37	烹飪課	Ph
B3L11-II-38	曬乾	Ph
B3L11-II-39	各種各樣	Ph
B3L11-II-40	殖民統治	Ph
B3L11-II-41	味噌湯	Ph
B3L11-II-42	蘿蔔乾	Ph
B3L11-II-43	進一步	Ph
B3L12-I-41	有道理	Ph
B3L12-I-42	候選人	Ph
B3L12-II-33	辭掉	Ph
B3L12-II-34	提出	Ph
B3L12-II-35	國民年金	Ph
B3L12-II-36	中間選民	Ph
B3L12-II-37	一陣子	Ph
B3L12-II-38	下一步	Ph
B3L12-II-39	盡可能	Ph
B3L12-II-40	出版社	Ph
B3L12-II-41	捐出	Ph
B3L12-II-42	二手書	Ph
B4L01-I-01	小玲	Character Name
B4L01-I-02	阿建	Character Name
B4L01-I-24	建設公司	Ph
B4L01-I-25	業務經理	Ph
B4L01-I-26	室內設計	Ph
B4L01-II-39	明星高中	Ph
B4L01-II-40	早出晚歸	Ph
B4L01-II-41	打開	Ph
B4L01-II-42	喘不過氣	Ph
B4L01-II-43	躲進	Ph
B4L01-II-44	掉進	Ph
B4L02-I-01	李雲真	Character Name
B4L02-I-34	看不成	Ph
B4L02-I-35	聯絡感情	Ph
B4L02-I-36	擤鼻涕	Ph
B4L02-II-32	國家戲劇院	Name
B4L02-II-33	雲門舞集	Name
B4L02-II-34	國家音樂廳	Name
B4L02-II-35	金馬影展	Name
B4L02-II-36	現代舞	Ph
B4L02-II-37	無人不知無人不曉	Ph
B4L02-II-38	百聞不如一見	Ph
B4L02-II-39	老街	Ph
B4L02-II-40	街頭藝術	Ph
B4L02-II-41	裝置藝術	Ph
B4L02-II-42	填飽	Ph
B4L02-II-43	口腹之慾	Ph
B4L03-I-01	李文麗	Character Name
B4L03-I-31	雲端科技	Ph
B4L03-I-32	宅經濟	Ph
B4L03-I-33	用不慣	Ph
B4L03-I-34	退換	Ph
B4L03-I-35	信用卡	Ph
B4L03-II-42	無形中	Ph
B4L03-II-43	遠距教學	Ph
B4L03-II-44	大吵大鬧	Ph
B4L03-II-45	焦慮不安	Ph
B4L03-II-46	總而言之	Ph
B4L04-I-34	風水學	Name
B4L04-I-35	正對門	Ph
B4L04-I-36	譬如說	Ph
B4L04-I-37	一口氣	Ph
B4L04-I-38	死定了	Ph
B4L04-II-34	晉代	Name
B4L04-II-35	郭璞	Name
B4L04-II-36	英國	Name
B4L04-II-37	邱吉爾	Name
B4L04-II-38	信義路	Name
B4L04-II-39	松智路	Name
B4L04-II-40	一命二運三風水	Ph
B4L04-II-41	加起來	Ph
B4L04-II-42	咬錢龜	Ph
B4L04-II-43	十全十美	Ph
B4L05-I-27	清潔隊員	Ph
B4L05-I-28	擺地攤	Ph
