ID	Traditional	Simplified	Pinyin	POS	Meaning	Tags
B5L06-II-07	費	费	fèi	V	to exert (lit. pay out)	slides ankiweb ddsg ccc
B5L06-II-11	犯案	犯案	fàn'àn	Vp-sep	to be implicated in a crime	slides ddsg
B5L06-II-14	誤判	误判	wùpàn	V/N	to err in judicial judgement; erroneous judgement, miscarriage of justice	slides ankiweb ccc book
B5L06-II-27	感受	感受	gǎnshòu	N	feelings	slides ankiweb ddsg ccc
B5L06-II-28	只是	只是	zhǐshì	Adv	but at the same time, we must realize that	ankiweb ccc book
B5L06-II-29	一命還一命	一命还一命	yímìng huán yímìng	Id	a life for a life, an eye for an eye	slides ankiweb ddsg ccc
B5L06-II-31	也就是說	也就是说	yějiùshìshuō	Ph	that is to say, that is, i.e.,	ankiweb ccc book
B5L06-II-32	歐盟	欧盟	Ōuméng	N	the EU, European Union	ankiweb ccc book
B5L07-I-0-01	傷腦筋	伤脑筋	shāng nǎojīn	Id	to cause a headache, a pain in the neck, to be knotty/troublesome (said of issues or problems)	slides ankiweb ccc book
B5L07-I-06	（一）大半	（一）大半	(yí) dàbàn	Ph	a huge portion of, more than half	ankiweb ccc
B5L07-I-10	可憐	可怜	kělián	Vs	pitiful, pitiable, poor	ankiweb ccc book
B5L07-I-11	相依為命	相依为命	xiāngyī wéimìng	Id	to depend on each other (for survival)	slides ankiweb ccc
B5L07-I-13	懂事	懂事	dǒngshì	Vs	sensible, to have a good head on one's shoulders	ankiweb book
B5L07-I-18	家產	家产	jiāchǎn	N	family property	slides ankiweb ccc
B5L07-I-23	袖手旁觀	袖手旁观	xiùshǒu pángguān	Id	stand by and watch, sit there twiddling one's thumbs, not lift a finger	slides ankiweb
B5L07-I-27	等同	等同	děngtóng	Vst	tantamount to, equivalent to	ankiweb ccc book
B5L07-I-29	分子	分子	fènzǐ	N	member (of an organisation)	slides book
B5L07-II-01	哈佛大學	哈佛大学	Hāfó Dàxué	N	Harvard University	slides ankiweb ccc
B5L07-II-02	課堂	课堂	kètáng	N	classroom	slides ankiweb ccc
B5L07-II-15	眾人	众人	zhòngrén	N	people in general, the multitude	slides ankiweb ccc
B5L07-II-22	無所事事	无所事事	wúsuǒ shìshì	Id	have nothing to do, to lay idle (here, unemployed)	slides ankiweb ccc
B5L07-II-27	歪理	歪理	wāilǐ	N	preposterous argument (i.e., that's dumb! What idiot thought that up?!)	slides ankiweb book
B5L07-II-28	米蟲	米虫	mǐchóng	N	sponge, parasite (lit. a rice bug)	slides ankiweb ccc
B5L07-II-31	強制	强制	qiǎngzhì	Adv	by force into, coerced into	ankiweb ccc book
B5L07-II-42	強盜	强盗	qiángdào	N	robber	slides ankiweb ccc
B5L08-I-0-01	左右為難	左右为难	zuǒyòu wéinán	Id	in a dilemma, be in a bind, in a predicament, in a fix	slides ankiweb ddsg ccc
B5L08-I-0-03	男童	男童	nántóng	N	boy, male child	slides ankiweb ddsg ccc
B5L08-I-0-05	震驚	震惊	zhènjīng	Vpt	to shock, stun, startle	slides ankiweb ddsg ccc
B5L08-I-02	化	化	huà	V	to turn into, change into, convert into, transform into	slides ankiweb ccc book
B5L08-I-05	難以數計	难以数计	nányǐ shùjì	Id	countless (lit. hard to calculate)	slides ankiweb ddsg ccc
B5L08-I-09	聯合國	联合国	Liánhéguó	N	United Nations, UN	slides ankiweb ddsg ccc
B5L08-I-10	止	止	zhǐ	Ptc	until (classical Chinese)	slides ankiweb ddsg ccc
B5L08-I-16	高峰會	高峰会	gāofēng huì	N	Summit (meeting)	slides ankiweb ddsg ccc
B5L08-I-17	領袖	领袖	lǐngxiù	N	leader, head of a state	slides ankiweb ddsg ccc
B5L08-I-20	前-	前-	qián	N	former-, ex-	slides book
B5L08-I-21	歐巴馬	欧巴马	Ōubāmǎ	N	Barack Obama (former US president)	ankiweb ddsg ccc book
B5L08-I-23	主義	主义	zhǔyì	N	"-ism" (as in terrorism, Communism)	slides ddsg book
B5L08-I-24	受害者	受害者	shòuhàizhě	N	victim	slides ankiweb ccc book
B5L08-I-30	收容	收容	shōuróng	V	to offer refuge to	slides ankiweb ddsg ccc
B5L08-I-33	轉化	转化	zhuǎnhuà	Vi	to change into, transform into	slides ankiweb ddsg ccc
B5L08-I-35	奧運	奥运	Àoyùn	N	Olympics	ankiweb ddsg ccc book
B5L08-I-43	身分	身分	shēnfèn	N	identification	slides ankiweb ddsg ccc
B5L08-I-45	之後	之后	zhīhòu	N	subsequent to that	slides ankiweb ccc book
B5L08-I-47	膚色	肤色	fūsè	N	skin color	slides ankiweb ddsg ccc
B5L08-II-08	對立	对立	duìlì	Vs	to oppose, be in opposition to, be antagonistic	slides ankiweb ccc book
B5L08-II-09	罷了	罢了	bàle	Ptc	merely, that's it, that is all	slides ankiweb ddsg
B5L08-II-11	每況愈下	每况愈下	měikuàng yùxià	Id	to deteriorate, go downhill, go from bad to worse	slides ankiweb ccc book
B5L08-II-16	有機可乘	有机可乘	yǒujī kěchéng	Id	take advantage of a situation	slides ankiweb ddsg ccc
B5L08-II-19	升高	升高	shēnggāo	Vp	to increase, rise	slides ankiweb ccc book
B5L08-II-20	在在	在在	zàizài	Adv	in all aspects (classical Chinese)	slides ankiweb ddsg ccc
B5L08-II-21	設置	设置	shèzhì	V	to establish, set up	slides ankiweb ccc book
B5L08-II-26	交託	交托	jiāotuō	V	to entrust (one's safety, life, etc.) to	slides ankiweb ddsg
B5L08-II-38	首要之務	首要之务	shǒuyào zhīwù	Id	top/first priority, the most important issue	slides ankiweb ddsg ccc
B5L09-I-01	遠處	远处	yuǎnchù	N	a distant location	slides ankiweb ccc book
B5L09-I-03	外洩	外泄	wàixiè	Vi	to leak	slides ankiweb ddsg ccc
B5L09-I-15	列為	列为	lièwéi	Vst	to be ranked as, listed as	slides ankiweb ddsg ccc
B5L09-I-21	及時	及时	jíshí	Adv	in time, in a timely manner	slides ankiweb ddsg ccc
B5L09-I-22	顆	颗	kē	M	measure for round objects, e.g., bombs	slides ankiweb ddsg ccc
B5L09-I-27	歐洲癌症護理雜誌	欧洲癌症护理杂志	Ōuzhōu Áizhèng Hùlǐ Zázhì	Ph	European Journal of Cancer Care	book
B5L09-II-06	視為	视为	shìwéi	Vst	to regard as	slides ankiweb ddsg ccc
